Number Of Trees,Sequence,Site Name,Contract Area,Scientific Name,Common Name,Inspection Date,Inspection Due Date,Height In Metres,Spread In Metres,Diameter In Centimetres At Breast Height,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Newly Planted,Outstanding Job Count,Outstanding Job Number,Outstanding Job Description,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Location,Identifier,Spatial Accuracy,Last Uploaded,Organisation URI
1,9,FARRIER STREET,Highways,Vacant Tree Pit,Vacant Tree Pit,,,,,,,,No,,,,,,,,,,E05013655,Camden Town,528980,184402,-0.141401,51.543785,"(51.543785, -0.141401)",00062751,Captured By Camden Officer,04/08/2023 08:30:30 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,54,Estate 1-158 Dorney (cons),Housing,Quercus ilex,"Oak - Evergreen, Holm",06/06/2023,2026/2027,3,3,10,Early mature,Good,No,,Not Applicable,,,,1078.80,,,,E05013667,Primrose Hill,527397,184402,-0.164216,51.544146,"(51.544146, -0.164216)",00063825,Captured By Camden Officer,04/08/2023 08:30:29 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,32,POLYGON ROAD,Highways,Temporary Aborted Tree Pit,,,,,,,,,No,,,,,,,,,,E05013669,St Pancras and Somers Town,529753,183159,-0.130729,51.532442,"(51.532442, -0.130729)",00062856,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,59,Castle Road Estate 3,Housing,Vacant Tree Pit,Vacant Tree Pit,22/02/2023,2025/2026,,,,,,No,,,,,,,,,,E05013655,Camden Town,528761,184456,-0.144541,51.544321,"(51.544321, -0.144541)",00063268,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,12,Broadfield Estate 2,Housing,Tilia europaea,Lime - Common,04/03/2021,2023/2024,19,6,70,Mature,Fair,No,,Not Applicable,1,356414,Remove epicormic growth,37003.04,369.6,8.1,162.2,E05013670,South Hampstead,525975,184638,-0.184635,51.546582,"(51.546582, -0.184635)",00002521,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,90,Wendling Estate,Housing,Sorbus aucuparia,"Rowan, Mountain Ash",28/07/2023,2026/2027,8,4,29,Semi-mature,Good,No,,Not Applicable,,,,6048.50,76.3,4.4,39.3,E05013658,Gospel Oak,528028,185330,-0.154787,51.552341,"(51.552341, -0.154787)",00033420,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,23,St Pancras Court Estate,Housing,Quercus ilex,"Oak - Evergreen, Holm",06/03/2023,2025/2026,15,10,53,Mature,Fair,No,,Not Applicable,,,,22727.74,,,,,,526735,190291,-0.171646,51.59722,"(51.59722, -0.171646)",00041597,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,61,HARTLAND ROAD,Highways,Vacant Tree Pit,Vacant Tree Pit,30/05/2023,2026/2027,,,,,,No,,,,,,,,,,E05013655,Camden Town,528591,184268,-0.147056,51.542671,"(51.542671, -0.147056)",00063809,Captured By Camden Officer,04/08/2023 08:30:32 PM,http://opendatacommunities.org/id/london-borough-council/camden
3,260,Branch Hill Estate,Housing,Fraxinus excelsior,Ash,14/04/2021,2024/2025,6,7,9,Young,Good,No,,Not Applicable,,,,873.84,,,,E05013657,Frognal,525910,186075,-0.185049,51.559513,"(51.559513, -0.185049)",00060810,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,37,SAVERNAKE ROAD,Highways,Koelreuteria paniculata,Golden Rain Tree,,,3,2,4,Young,Good,No,,1st year,,,,153.43,,,,E05013658,Gospel Oak,527756,185689,-0.158577,51.555634,"(51.555634, -0.158577)",00062678,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,35,HADLEY STREET,Highways,Fraxinus excelsior,Ash,30/06/2020,2023/2024,6,4,16,Semi-mature,Good,No,,Not Applicable,,,,2485.57,18.9,1.8,31.8,E05013655,Camden Town,528675,184515,-0.145757,51.544872,"(51.544872, -0.145757)",00053776,Captured By Camden Officer,04/08/2023 08:30:31 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,215,Coopers Lane Estate,Housing,Vacant Tree Pit,Vacant Tree Pit,31/01/2023,2025/2026,,,,,,No,,,,,,,,,,E05013669,St Pancras and Somers Town,529886,183179,-0.128799,51.532592,"(51.532592, -0.128799)",00063151,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,47,CANTELOWES ROAD,Highways,Parrotia persica vanessa,Persian Ironwood,,,3,2,4,Young,Good,No,,1st year,,,,153.43,,,,E05013654,Camden Square,529622,184707,-0.13204,51.546381,"(51.546381, -0.13204)",00063647,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,26,Westcroft Estate 4,Housing,Gleditsia triacanthos,Honey Locust,14/04/2021,2024/2025,8,5,19,Semi-mature,Fair,No,,Not Applicable,,,,3115.59,,,,,,524260,185967,-0.208882,51.558908,"(51.558908, -0.208882)",00038209,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,32,Lymington Road Estate,Housing,Acer campestre,Maple - Field,22/02/2021,2023/2024,10,6,22,Semi-mature,Good,No,,Not Applicable,,,,4177.14,98.6,5,135,E05013671,West Hampstead,525779,184910,-0.187358,51.549075,"(51.549075, -0.187358)",00013242,Captured By Camden Officer,04/08/2023 08:30:34 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,40,Westcroft Estate 1,Housing,Acer pseudoplatanus,Sycamore,14/04/2021,2024/2025,9,7,32,Semi-mature,Fair,No,,Not Applicable,,,,9819.53,,,,,,524286,186036,-0.208477,51.559523,"(51.559523, -0.208477)",00038166,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,113,Denton Estate,Housing,Pinus sylvestris,Pine - Scots,19/03/2020,2022/2023,2,2,5,Young,Good,No,,Not Applicable,,,,269.70,,,,E05013660,Haverstock,528388,184521,-0.149897,51.544994,"(51.544994, -0.149897)",00058337,Captured By Camden Officer,04/08/2023 08:30:29 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,1,GLENMORE ROAD,Highways,Sorbus aria,Whitebeam,16/09/2021,2024/2025,9,5,39,Mature,Fair,No,,Not Applicable,,,,10209.82,320.3,10.3,76,E05013652,Belsize,527227,184937,-0.16648,51.54899,"(51.54899, -0.16648)",00007732,Captured By Camden Officer,04/08/2023 08:30:31 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,8,AVENUE ROAD,Highways,Platanus x hispanica,London plane,08/09/2021,2024/2025,20,16,96,Mature,Good,No,,Not Applicable,,,,89480.46,2595.1,35.5,1029,E05013667,Primrose Hill,526913,183888,-0.17138,51.539635,"(51.539635, -0.17138)",00001308,Captured By Camden Officer,04/08/2023 08:30:26 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,49,RODERICK ROAD,Highways,Malus Tschonoskii,Apple - Crab,,,3,2,4,Young,Good,No,,1st year,,,,115.07,,,,E05013658,Gospel Oak,527799,185542,-0.158013,51.5543,"(51.5543, -0.158013)",00063617,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,1,BUCKNALL STREET,Highways,Carpinus betulus Lucas,Hornbeam - European,,,3,2,4,Young,Good,No,,1st year,,,,172.61,,,,E05013662,Holborn and Covent Garden,530039,181399,-0.127251,51.516556,"(51.516556, -0.127251)",00063552,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,60,Regents Park Estate 7,Housing,Malus domestica cultivar,Apple,19/10/2022,2025/2026,5,3,7,Young,Good,No,,Not Applicable,,,,317.17,,,,E05013668,Regents Park,528971,182744,-0.142145,51.528885,"(51.528885, -0.142145)",00059597,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,17,Mornington and Albert Street Estate,Housing,Vacant Tree Pit,Vacant Tree Pit,11/10/2022,2025/2026,,,,,,No,,,,,,,,,,E05013668,Regents Park,528965,183384,-0.141992,51.534642,"(51.534642, -0.141992)",00062860,Captured By Camden Officer,04/08/2023 08:30:35 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,126,Kiln Place Estate,Housing,Koelreuteria paniculata,Golden Rain Tree,04/03/2020,2022/2023,2.5,1.5,4,Young,Good,No,,Not Applicable,,,,153.43,,,,E05013658,Gospel Oak,528286,185534,-0.150995,51.554122,"(51.554122, -0.150995)",00057566,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,244,Branch Hill Estate,Housing,Sambucus nigra,Elder,14/04/2021,2024/2025,4,4,12,Semi-mature,Good,No,,Not Applicable,,,,1035.65,,,,E05013657,Frognal,525930,186011,-0.184788,51.558937,"(51.558937, -0.184788)",00060785,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,52,Regent Square Estate,Housing,Prunus 'Amanogawa',Cherry,09/01/2023,2025/2026,6,3,22,Semi-mature,Good,No,,Not Applicable,,,,3132.85,,,,E05013666,Kings Cross,530307,182621,-0.122936,51.527476,"(51.527476, -0.122936)",00057722,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,54,ROBERT STREET,Highways,Vacant Tree Pit,Vacant Tree Pit,,,,,,,,No,,,,,,,,,,E05013668,Regents Park,529153,182705,-0.139535,51.528493,"(51.528493, -0.139535)",00062939,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,21,QUADRANT GROVE,Highways,Betula albosinensis Fasc.,Birch - Chinese Red,,,3,2,4,Young,Good,No,,1st year,,,,115.07,,,,E05013660,Haverstock,528039,185119,-0.154707,51.550444,"(51.550444, -0.154707)",00063593,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,260,SWISS COTTAGE OPEN SPACE (LS),Parks,Temporary Aborted Tree Pit,,08/06/2023,2026/2027,,,,,,No,,,,,,,,,,E05013667,Primrose Hill,526749,184241,-0.173612,51.54284,"(51.54284, -0.173612)",00063829,Captured By Camden Officer,04/08/2023 08:30:38 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,228,West End Sidings Estate,Housing,Ailanthus altissima,Tree of Heaven,23/02/2021,2023/2024,5,4,17,Semi-mature,Fair,No,,Not Applicable,,,,2771.33,,,,E05013656,Fortune Green,524782,184915,-0.201734,51.54934,"(51.54934, -0.201734)",00058364,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,177,Regents Park Estate 3,Housing,Vacant Tree Pit,Vacant Tree Pit,18/10/2022,2025/2026,,,,,,No,,,,,,,,,,E05013668,Regents Park,529105,182944,-0.140142,51.530658,"(51.530658, -0.140142)",00062916,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,298,Branch Hill Estate,Housing,Acer pseudoplatanus,Sycamore,30/03/2021,2023/2024,16,15,87,Mature,Good,No,,Not Applicable,,,,72582.05,,,,E05013657,Frognal,525988,186110,-0.183919,51.559815,"(51.559815, -0.183919)",00032150,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,88,Curnock St Estate,Housing,Acer pseudoplatanus,Sycamore,11/01/2023,2025/2026,14,8,39,Mature,Fair,No,,Not Applicable,,,,13126.91,287.6,8.1,309.6,E05013669,St Pancras and Somers Town,529154,183708,-0.139152,51.537506,"(51.537506, -0.139152)",00005260,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,44,LEVERTON STREET,Highways,Malus 'Mokum',Apple - Crab,,,3,2,4,Young,Good,No,,1st year,,,,115.07,,,,E05013663,Kentish Town North,529103,185477,-0.139239,51.553419,"(51.553419, -0.139239)",00063565,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,81,KENTISH TOWN PRIMARY,Education,Pyrus unidentified species,Pear,15/12/2021,2024/2025,3,2,7,Young,Good,No,,Not Applicable,,,,317.17,,,,E05013664,Kentish Town South,529079,185103,-0.139728,51.55006,"(51.55006, -0.139728)",00059822,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,59,Regents Park Estate 7,Housing,Malus domestica cultivar,Apple,19/10/2022,2025/2026,5,3,6,Young,Good,No,,Not Applicable,,,,233.02,,,,E05013668,Regents Park,528971,182739,-0.142146,51.528843,"(51.528843, -0.142146)",00059596,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,100,St Silas Street Estate 2,Housing,Ginkgo biloba,Maidenhair tree,08/04/2020,2023/2024,4,1,4,Young,Good,No,,Not Applicable,,,,172.61,1.4,0.5,3.2,E05013660,Haverstock,528107,184866,-0.153825,51.548158,"(51.548158, -0.153825)",00054511,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
,35,Kingsland Estate,Housing,Buddleia Species,Butterfly bush,24/03/2021,2023/2024,,,,,Good,No,,,,,,,,,,E05013667,Primrose Hill,527498,183612,-0.16305,51.537022,"(51.537022, -0.16305)",00060154,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,47,Dunboyne Road Estate,Housing,Acer platanoides,Maple - Norway,06/03/2020,2022/2023,13,5,29,Semi-mature,Good,No,,Not Applicable,,,,7258.21,188.8,7.2,164.9,E05013658,Gospel Oak,527771,185403,-0.158472,51.553055,"(51.553055, -0.158472)",00005680,Captured By Camden Officer,04/08/2023 08:30:29 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,34,St Pancras Court Estate,Housing,Acer pseudoplatanus,Sycamore,06/03/2023,2025/2026,6,0,12,Not Applicable,Fair,No,,Not Applicable,,,,1380.87,,,,,,526771,190336,-0.171105,51.597613,"(51.597613, -0.171105)",00052852,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,15,MILLMAN STREET,Highways,Malus yunnanensis veitchii,Apple,15/06/2022,2025/2026,5,4,11,Semi-mature,Good,No,,Not Applicable,,,,783.21,0.7,0.3,3.8,E05013662,Holborn and Covent Garden,530695,182123,-0.117529,51.522909,"(51.522909, -0.117529)",00049102,Captured By Camden Officer,04/08/2023 08:30:35 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,56,Westcroft Estate 4,Housing,Fagus sylvatica,Beech - Common,14/04/2021,2024/2025,2,1,4,Young,Good,No,,Not Applicable,,,,153.43,,,,,,524246,185878,-0.209114,51.55811,"(51.55811, -0.209114)",00055951,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,237,Branch Hill Estate,Housing,Ilex aquifolium,Holly,14/04/2021,2024/2025,5,5,15,Mature,Fair,No,,Not Applicable,,,,2157.61,,,,E05013657,Frognal,525949,185987,-0.184519,51.558714,"(51.558714, -0.184519)",00060776,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
9,294,Branch Hill Estate,Housing,Prunus laurocerasus,Laurel - Cherry,30/03/2021,2023/2024,5,14,15,Semi-mature,Fair,No,,Not Applicable,,,,1618.21,,,,E05013657,Frognal,525999,186101,-0.183768,51.559727,"(51.559727, -0.183768)",00002331,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,46,Regents Park Estate 5,Housing,Malus domestica cultivar,Apple,19/10/2022,2025/2026,5,2,5,Young,Good,No,,Not Applicable,,,,179.80,,,,E05013668,Regents Park,529038,182847,-0.141136,51.529801,"(51.529801, -0.141136)",00059573,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,20,UPPER TERRACE,Highways,Ulmus New Horizon,Elm,05/10/2021,2024/2025,5,2,7,Young,Good,No,,Not Applicable,,,,528.62,,,,E05013659,Hampstead Town,526143,186128,-0.181673,51.559936,"(51.559936, -0.181673)",00056249,Captured By Camden Officer,04/08/2023 08:30:39 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,27,Highgate Road Estate,Housing,Betula ermanii,Birch - Erman's,16/04/2020,2023/2024,9,4,16,Semi-mature,Good,No,,Not Applicable,,,,1657.04,27.6,2.7,27.3,E05013661,Highgate,528543,185804,-0.147189,51.556484,"(51.556484, -0.147189)",00045125,Captured By Camden Officer,04/08/2023 08:30:32 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,18,HAWLEY PRIMARY,Education,Carpinus betulus,Hornbeam,15/03/2023,2025/2026,5,3,8,Young,Good,No,,Not Applicable,,,,690.44,,,,E05013655,Camden Town,528870,184281,-0.14304,51.542728,"(51.542728, -0.14304)",00063530,Captured By Camden Officer,04/08/2023 08:30:32 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,55,LANGTRY CHILDREN'S CENTRE,Education,Vacant Tree Pit,Vacant Tree Pit,24/02/2023,2025/2026,,,,,,No,,,,,,,,,,E05013665,Kilburn,525693,183686,-0.189041,51.538097,"(51.538097, -0.189041)",00055179,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,83,Kiln Place Estate,Housing,Acer pseudoplatanus,Sycamore,04/03/2020,2022/2023,14,9,32,Semi-mature,Good,No,,Not Applicable,,,,8837.58,237,8.2,348.2,E05013658,Gospel Oak,528336,185555,-0.150264,51.554297,"(51.554297, -0.150264)",00032792,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,52,SOMALI ROAD,Highways,Lagerstroemia indica Rosa Nova,Crape myrtle,,,3,2,4,Young,Good,No,,1st year,,,,191.79,,,,E05013656,Fortune Green,524511,185520,-0.205422,51.554837,"(51.554837, -0.205422)",00063458,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,608,Maiden Lane Estate,Housing,Zelkova serrata,Japanese zelkova,28/10/2022,2025/2026,4.5,3.5,12,Not Applicable,Good,No,,Not Applicable,,,,1726.09,,,,E05013654,Camden Square,529988,184283,-0.12692,51.54249,"(51.54249, -0.12692)",00062972,Captured By Camden Officer,04/08/2023 08:30:34 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,47,TOTTENHAM COURT ROAD,Highways,Ulmus New Horizon,Elm,,,3,2,4,Young,Good,No,,1st year,,,,191.79,,,,E05013653,Bloomsbury,529599,181735,-0.133461,51.519673,"(51.519673, -0.133461)",00063038,Captured By Camden Officer,04/08/2023 08:30:39 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,48,LUPTON STREET,Highways,Celtis australis,European nettle,,,3,2,4,Young,Good,No,,1st year,,,,191.79,,,,E05013663,Kentish Town North,529137,185582,-0.13871,51.554355,"(51.554355, -0.13871)",00063583,Captured By Camden Officer,04/08/2023 08:30:34 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,5,COTLEIGH ROAD,Highways,Acer platanoides,Maple - Norway,14/09/2021,2024/2025,8,4,34,Mature,Fair,No,,Not Applicable,,,,7759.73,229.9,7.1,56,E05013665,Kilburn,525351,184289,-0.193746,51.543586,"(51.543586, -0.193746)",00004647,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,74,Churchway Estate,Housing,Alnus cordata,Alder - Italian,07/02/2023,2025/2026,5,1.5,8,Young,Good,No,,Not Applicable,,,,613.72,,,,E05013669,St Pancras and Somers Town,529728,182769,-0.13122,51.528943,"(51.528943, -0.13122)",00063206,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,36,Westcroft Estate 4,Housing,Gleditsia triacanthos,Honey Locust,14/04/2021,2024/2025,7,7,25,Semi-mature,Good,No,,Not Applicable,,,,5394.03,,,,,,524285,185890,-0.208544,51.558214,"(51.558214, -0.208544)",00051795,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
10,263,PARLIAMENT HILL,Education,Sambucus nigra,Elder,14/12/2021,2024/2025,5,2,9,Semi-mature,Fair,No,,Not Applicable,,,,524.30,9.9,1.2,737.6,E05013661,Highgate,528311,185905,-0.150507,51.557448,"(51.557448, -0.150507)",00040521,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,225,Weedington Road Estate 2,Housing,Vacant Tree Pit,Vacant Tree Pit,27/07/2023,2026/2027,,,,,,No,,,,,,,,,,E05013658,Gospel Oak,528176,185269,-0.152681,51.55176,"(51.55176, -0.152681)",00063900,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,2,FERDINAND STREET,Highways,Liquidambar styraciflua Worple,Sweetgum,,,3,2,4,Young,Good,No,,1st year,,,,153.43,,,,E05013660,Haverstock,528441,184484,-0.149151,51.544643,"(51.544643, -0.149151)",00062728,Captured By Camden Officer,04/08/2023 08:30:30 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,1188,WATERLOW PARK (LS),Parks,Ulmus glabra,Elm - Wych,15/04/2020,2023/2024,10,6,27,Semi-mature,Fair,No,,Not Applicable,,,,8738.33,,,,E05013661,Highgate,528547,187166,-0.146637,51.568721,"(51.568721, -0.146637)",00059796,Captured By Camden Officer,04/08/2023 08:30:39 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,107,CHALK FARM ROAD,Highways,Vacant Tree Pit,Vacant Tree Pit,,,,,,,,No,,,,,,,,,,E05013655,Camden Town,528650,184207,-0.146236,51.542111,"(51.542111, -0.146236)",00062828,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,12,"MURRAY ST,CAMDEN SQ PLAYCENTRE (CL)",Corporate Landlord,Sorbus aria,Whitebeam,08/06/2021,2024/2025,9,4,25,Semi-mature,Fair,No,,Not Applicable,,,,4495.02,114.7,5,35.1,E05013654,Camden Square,529577,184495,-0.132766,51.544483,"(51.544483, -0.132766)",00003082,Captured By Camden Officer,04/08/2023 08:30:35 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,40,Kilburn Gate Estate,Housing,Liriodendron tulipifera,Tulip Tree,12/05/2021,2024/2025,13,4,20,Young,Good,No,,Not Applicable,,,,3452.18,3.2,0.7,96.5,E05013665,Kilburn,525656,183422,-0.189664,51.535731,"(51.535731, -0.189664)",00041492,Captured By Camden Officer,04/08/2023 08:30:33 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,10,Dunboyne Road Estate,Housing,Prunus avium,"Cherry - Wild, Gean",06/03/2020,2022/2023,10,8,34,Mature,Good,No,,Not Applicable,,,,7482.59,292.5,10.6,199.5,E05013658,Gospel Oak,527735,185300,-0.159019,51.552141,"(51.552141, -0.159019)",00005645,Captured By Camden Officer,04/08/2023 08:30:29 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,366,Branch Hill Estate,Housing,Tilia europaea,Lime - Common,14/04/2021,2024/2025,23,10,78,Mature,Fair,No,,Not Applicable,,,,45944.18,,,,E05013657,Frognal,526043,186000,-0.183164,51.558814,"(51.558814, -0.183164)",00033260,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,33,BEDFORD PLACE,Highways,Koelreuteria paniculata,Golden Rain Tree,,,4,2,4,Young,Good,No,,1st year,,,,153.43,,,,E05013653,Bloomsbury,530263,181787,-0.123881,51.519992,"(51.519992, -0.123881)",00063337,Captured By Camden Officer,04/08/2023 08:30:26 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,31,RHYL COMMUNITY PRIMARY,Education,Vacant Tree Pit,Vacant Tree Pit,23/03/2023,2025/2026,,,,,,No,,,,,,,,,,E05013660,Haverstock,528309,184788,-0.150938,51.547412,"(51.547412, -0.150938)",00058663,Captured By Camden Officer,04/08/2023 08:30:36 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,15,SANDALL ROAD,Highways,Sorbus intermedia,Whitebeam - Swedish,01/06/2020,2023/2024,4,1.5,6,Young,Good,No,,Not Applicable,,,,310.70,,,,E05013664,Kentish Town South,529430,184709,-0.134813,51.546439,"(51.546439, -0.134813)",00058933,Captured By Camden Officer,04/08/2023 08:30:37 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,44,Westcroft Estate 4,Housing,Crataegus crus-galli,Hawthorn - Cockspur thorn,14/04/2021,2024/2025,5,3,10,Semi-mature,Fair,No,,Not Applicable,,,,647.28,,,,,,524200,185931,-0.209762,51.558598,"(51.558598, -0.209762)",00038200,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,566,WATERLOW PARK (LS),Parks,Ilex aquifolium,Holly,22/03/2022,2024/2025,7,4,19,Semi-mature,Fair,No,,Not Applicable,,,,3461.77,42.3,2.7,44.5,E05013661,Highgate,528743,187096,-0.143838,51.568054,"(51.568054, -0.143838)",00021425,Captured By Camden Officer,04/08/2023 08:30:39 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,20,LOWER MERTON RISE,Highways,Malus 'Rudolph',Apple - Crab,,,3,2,4,Young,Good,No,,1st year,,,,115.07,,,,E05013667,Primrose Hill,527271,184117,-0.16614,51.541613,"(51.541613, -0.16614)",00063421,Captured By Camden Officer,04/08/2023 08:30:34 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,49,YORK WAY,Highways,Liquidambar styraciflua,Sweet Gum,23/08/2022,2025/2026,5,2,6,Young,Fair,No,,Not Applicable,,,,310.70,1,0.2,9.3,,,530332,183193,-0.122363,51.532611,"(51.532611, -0.122363)",00054803,Captured By Camden Officer,04/08/2023 08:30:40 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,339,Branch Hill Estate,Housing,Fraxinus excelsior,Ash,14/04/2021,2024/2025,15,7,26,Semi-mature,Good,No,,Not Applicable,,,,6563.46,,,,E05013657,Frognal,525969,185976,-0.184238,51.558611,"(51.558611, -0.184238)",00002259,Captured By Camden Officer,04/08/2023 08:30:27 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,25,Hilgrove Estate 2,Housing,Sorbus aria,Whitebeam,04/03/2021,2023/2024,12,8,43,Mature,Good,No,,Not Applicable,,,,15957.69,438.7,12.4,232.1,E05013670,South Hampstead,526568,184222,-0.176239,51.54271,"(51.54271, -0.176239)",00010481,Captured By Camden Officer,04/08/2023 08:30:32 PM,http://opendatacommunities.org/id/london-borough-council/camden
1,62,Cromer Street Estate 1,Housing,Vacant Tree Pit,Vacant Tree Pit,06/01/2023,2025/2026,,,,,,No,,,,,,,,,,E05013666,Kings Cross,530445,182679,-0.120927,51.527962,"(51.527962, -0.120927)",00063131,Captured By Camden Officer,04/08/2023 08:30:28 PM,http://opendatacommunities.org/id/london-borough-council/camden
