Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,Longitude,Latitude,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,EPSG:27700 GeoJSON Geometry,EPSG:4326 GeoJSON Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Location,Organisation URI
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Wolsey Mews,NW5 2DX,CA-M,N/A,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529026,184981,-0.140534,51.548983,"MULTILINESTRING ((529025.25 184985.3,529027.27 184985.05,529026.29 184977.56,529024.37 184977.8))","LINESTRING (-0.14054 51.549018,-0.140511 51.549015,-0.140528 51.548948,-0.140556 51.548951)","{""type"":""MultiLineString"",""coordinates"":[[[529025.25,184985.3],[529027.27,184985.05],[529026.29,184977.56],[529024.37,184977.8]]]}","{""type"":""LineString"",""coordinates"":[[-0.14054,51.549018],[-0.140511,51.549015],[-0.140528,51.548948],[-0.140556,51.548951]]}",46045145,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.548983, -0.140534)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (dedicated),1,at any time,N/A,N/A,N/A,N/A,New Oxford Street,WC1A 2SL,CA-C,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530223,181476,-0.124578,51.517209,"MULTILINESTRING ((530225.77 181477.89,530226.1 181475.91,530219.5 181474.89,530219.21 181476.86))","LINESTRING (-0.124532 51.517222,-0.124528 51.517204,-0.124624 51.517196,-0.124627 51.517214)","{""type"":""MultiLineString"",""coordinates"":[[[530225.77,181477.89],[530226.1,181475.91],[530219.5,181474.89],[530219.21,181476.86]]]}","{""type"":""LineString"",""coordinates"":[[-0.124532,51.517222],[-0.124528,51.517204],[-0.124624,51.517196],[-0.124627,51.517214]]}",46133505,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.517209, -0.124578)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Malet Street,WC1E 7JN,CA-E,N/A,4,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529750,182040,-0.131172,51.522384,"MULTILINESTRING ((529752.67 182038.66,529751.07 182037.54,529748.18 182041.51,529749.75 182042.7))","LINESTRING (-0.13114 51.52237,-0.131164 51.52236,-0.131204 51.522397,-0.131181 51.522407)","{""type"":""MultiLineString"",""coordinates"":[[[529752.67,182038.66],[529751.07,182037.54],[529748.18,182041.51],[529749.75,182042.7]]]}","{""type"":""LineString"",""coordinates"":[[-0.13114,51.52237],[-0.131164,51.52236],[-0.131204,51.522397],[-0.131181,51.522407]]}",46035811,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.522384, -0.131172)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,4,mon-fri 12:30-14:30,N/A,N/A,N/A,N/A,Templewood Avenue,NW3 7RP,CA-S,CA-S,21,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525698,186041,-0.188129,51.559257,"MULTILINESTRING ((525704.51 186050,525705.83 186048.66,525705.72 186048.54,525690.55 186032.84,525690.42 186032.71,525689.01 186034))","LINESTRING (-0.188027 51.559335,-0.188008 51.559323,-0.18801 51.559322,-0.188234 51.559184,-0.188236 51.559183,-0.188256 51.559195)","{""type"":""MultiLineString"",""coordinates"":[[[525704.51,186050],[525705.83,186048.66],[525705.72,186048.54],[525690.55,186032.84],[525690.42,186032.71],[525689.01,186034]]]}","{""type"":""LineString"",""coordinates"":[[-0.188027,51.559335],[-0.188008,51.559323],[-0.18801,51.559322],[-0.188234,51.559184],[-0.188236,51.559183],[-0.188256,51.559195]]}",46035200,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.559257, -0.188129)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Keeley Street,WC2B 6TD,CA-C,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530594,181263,-0.119314,51.515207,"MULTILINESTRING ((530597.91 181263.68,530597.07 181265.68,530596.81 181265.55,530587.64 181261.47,530588.48 181259.28))","LINESTRING (-0.119251 51.515211,-0.119263 51.515229,-0.119266 51.515228,-0.1194 51.515193,-0.119389 51.515174)","{""type"":""MultiLineString"",""coordinates"":[[[530597.91,181263.68],[530597.07,181265.68],[530596.81,181265.55],[530587.64,181261.47],[530588.48,181259.28]]]}","{""type"":""LineString"",""coordinates"":[[-0.119251,51.515211],[-0.119263,51.515229],[-0.119266,51.515228],[-0.1194,51.515193],[-0.119389,51.515174]]}",46042721,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.515207, -0.119314)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,1,mon-fri 12:30-14:30,N/A,N/A,N/A,N/A,Hollycroft Avenue,NW3 7QG,CA-S,CA-S,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525365,186170,-0.192886,51.560491,"MULTILINESTRING ((525364.25 186173.45,525362.63 186172.52,525362.71 186172.36,525365.21 186167.46,525365.26 186167.33,525366.95 186168.22))","LINESTRING (-0.192889 51.56052,-0.192913 51.560512,-0.192912 51.560511,-0.192877 51.560466,-0.192876 51.560465,-0.192852 51.560473)","{""type"":""MultiLineString"",""coordinates"":[[[525364.25,186173.45],[525362.63,186172.52],[525362.71,186172.36],[525365.21,186167.46],[525365.26,186167.33],[525366.95,186168.22]]]}","{""type"":""LineString"",""coordinates"":[[-0.192889,51.56052],[-0.192913,51.560512],[-0.192912,51.560511],[-0.192877,51.560466],[-0.192876,51.560465],[-0.192852,51.560473]]}",46035275,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.560491, -0.192886)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Fellows Road,NW3 3LZ,CA-B,CA-B,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527662,184480,-0.160377,51.544784,"MULTILINESTRING ((527659.08 184484.12,527657.63 184482.77,527664.45 184475.36,527665.92 184476.71))","LINESTRING (-0.160414 51.544824,-0.160436 51.544812,-0.16034 51.544744,-0.160318 51.544756)","{""type"":""MultiLineString"",""coordinates"":[[[527659.08,184484.12],[527657.63,184482.77],[527664.45,184475.36],[527665.92,184476.71]]]}","{""type"":""LineString"",""coordinates"":[[-0.160414,51.544824],[-0.160436,51.544812],[-0.16034,51.544744],[-0.160318,51.544756]]}",46133983,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.544784, -0.160377)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,3,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Regent Square,WC1H 8LA,CA-D,CA-D,16,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530362,182533,-0.122187,51.52667,"MULTILINESTRING ((530363.36 182524.69,530365.22 182525.45,530359.74 182540.65,530357.83 182539.9))","LINESTRING (-0.122163 51.526598,-0.122136 51.526604,-0.122209 51.526742,-0.122237 51.526735)","{""type"":""MultiLineString"",""coordinates"":[[[530363.36,182524.69],[530365.22,182525.45],[530359.74,182540.65],[530357.83,182539.9]]]}","{""type"":""LineString"",""coordinates"":[[-0.122163,51.526598],[-0.122136,51.526604],[-0.122209,51.526742],[-0.122237,51.526735]]}",46043096,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.52667, -0.122187)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,1,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Camden Terrace,NW1 9BP,CA-N,CA-N,7,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529762,184642,-0.13004,51.545767,"MULTILINESTRING ((529760.94 184645.39,529759.59 184643.77,529759.68 184643.7,529765.44 184638.86,529766.83 184640.39))","LINESTRING (-0.130061 51.545794,-0.130081 51.54578,-0.13008 51.54578,-0.129999 51.545735,-0.129978 51.545748)","{""type"":""MultiLineString"",""coordinates"":[[[529760.94,184645.39],[529759.59,184643.77],[529759.68,184643.7],[529765.44,184638.86],[529766.83,184640.39]]]}","{""type"":""LineString"",""coordinates"":[[-0.130061,51.545794],[-0.130081,51.54578],[-0.13008,51.54578],[-0.129999,51.545735],[-0.129978,51.545748]]}",46048478,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.545767, -0.13004)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (blue badge),1,at any time,N/A,N/A,N/A,N/A,Sherriff Road,NW6 2AU,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525300,184540,-0.194398,51.54585,"MULTILINESTRING ((525296.95 184538.21,525296.66 184540.15,525302.84 184540.85,525303.11 184538.99))","LINESTRING (-0.194441 51.545839,-0.194445 51.545856,-0.194355 51.545861,-0.194352 51.545845)","{""type"":""MultiLineString"",""coordinates"":[[[525296.95,184538.21],[525296.66,184540.15],[525302.84,184540.85],[525303.11,184538.99]]]}","{""type"":""LineString"",""coordinates"":[[-0.194441,51.545839],[-0.194445,51.545856],[-0.194355,51.545861],[-0.194352,51.545845]]}",46044327,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.54585, -0.194398)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,5,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Cannon Hill,NW6 1LT,CA-P,CA-P,27,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525493,185286,-0.191352,51.552517,"MULTILINESTRING ((525494.27 185297.2,525492.35 185297.27,525492.36 185297.11,525491.55 185269.5,525493.28 185269.38))","LINESTRING (-0.191326 51.552616,-0.191354 51.552617,-0.191354 51.552616,-0.191376 51.552368,-0.191351 51.552366)","{""type"":""MultiLineString"",""coordinates"":[[[525494.27,185297.2],[525492.35,185297.27],[525492.36,185297.11],[525491.55,185269.5],[525493.28,185269.38]]]}","{""type"":""LineString"",""coordinates"":[[-0.191326,51.552616],[-0.191354,51.552617],[-0.191354,51.552616],[-0.191376,51.552368],[-0.191351,51.552366]]}",46043960,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.552517, -0.191352)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Fairfax Road,NW6 4EB,CA-K,N/A,2.325,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526333,184162,-0.179645,51.542226,"POLYGON ((526330.18 184160.53,526330.94 184163.1,526335.58 184163.27,526334.83 184160.67,526330.18 184160.53))","LINESTRING (-0.179684 51.542212,-0.179621 51.542219,-0.17961 51.542239,-0.179674 51.542232)","{""type"":""Polygon"",""coordinates"":[[[526330.18,184160.53],[526330.94,184163.1],[526335.58,184163.27],[526334.83,184160.67],[526330.18,184160.53]]]}","{""type"":""LineString"",""coordinates"":[[-0.179684,51.542212],[-0.179621,51.542219],[-0.17961,51.542239],[-0.179674,51.542232]]}",46046727,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.542226, -0.179645)",http://opendatacommunities.org/id/london-borough-council/camden
electric vehicle recharging,1,at any time,N/A,N/A,N/A,N/A,Eton Road,NW3 4SS,CA-B,N/A,8,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527738,184425,-0.159291,51.544271,"MULTILINESTRING ((527741.8 184426.91,527740.2 184428.25,527735.17 184422.22,527736.81 184420.82))","LINESTRING (-0.159243 51.544291,-0.159265 51.544304,-0.15934 51.544251,-0.159317 51.544238)","{""type"":""MultiLineString"",""coordinates"":[[[527741.8,184426.91],[527740.2,184428.25],[527735.17,184422.22],[527736.81,184420.82]]]}","{""type"":""LineString"",""coordinates"":[[-0.159243,51.544291],[-0.159265,51.544304],[-0.15934,51.544251],[-0.159317,51.544238]]}",46133661,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.544271, -0.159291)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Frognal Lane,NW3 7DG,CA-H,CA-H,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525931,185460,-0.184966,51.553984,"MULTILINESTRING ((525934.21 185459.75,525933.84 185461.69,525928.71 185460.66,525929.05 185458.7))","LINESTRING (-0.184926 51.553979,-0.184931 51.553997,-0.185005 51.553989,-0.185001 51.553971)","{""type"":""MultiLineString"",""coordinates"":[[[525934.21,185459.75],[525933.84,185461.69],[525928.71,185460.66],[525929.05,185458.7]]]}","{""type"":""LineString"",""coordinates"":[[-0.184926,51.553979],[-0.184931,51.553997],[-0.185005,51.553989],[-0.185001,51.553971]]}",46132786,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.553984, -0.184966)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,9,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Montpelier Grove,NW5 2XE,CA-M,CA-M,48,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529350,185413,-0.135698,51.552783,"MULTILINESTRING ((529346.37 185393.64,529348.33 185393.35,529348.35 185393.52,529355.34 185441.12,529353.19 185441.3))","LINESTRING (-0.135761 51.552614,-0.135733 51.552611,-0.135733 51.552612,-0.135615 51.553039,-0.135645 51.553041)","{""type"":""MultiLineString"",""coordinates"":[[[529346.37,185393.64],[529348.33,185393.35],[529348.35,185393.52],[529355.34,185441.12],[529353.19,185441.3]]]}","{""type"":""LineString"",""coordinates"":[[-0.135761,51.552614],[-0.135733,51.552611],[-0.135733,51.552612],[-0.135615,51.553039],[-0.135645,51.553041]]}",46045233,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.552783, -0.135698)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,2,mon-fri 12:30-14:30,N/A,N/A,N/A,N/A,Heath Drive,NW3 7SB,CA-S,CA-S,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525633,185813,-0.189143,51.55722,"MULTILINESTRING ((525637.38 185816.46,525635.96 185817.51,525635.83 185817.36,525629.19 185809.05,525629.07 185808.89,525630.56 185807.79))","LINESTRING (-0.189078 51.557251,-0.189098 51.557261,-0.1891 51.55726,-0.189199 51.557186,-0.189201 51.557185,-0.18918 51.557175)","{""type"":""MultiLineString"",""coordinates"":[[[525637.38,185816.46],[525635.96,185817.51],[525635.83,185817.36],[525629.19,185809.05],[525629.07,185808.89],[525630.56,185807.79]]]}","{""type"":""LineString"",""coordinates"":[[-0.189078,51.557251],[-0.189098,51.557261],[-0.1891,51.55726],[-0.189199,51.557186],[-0.189201,51.557185],[-0.18918,51.557175]]}",46035342,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.55722, -0.189143)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Conway Street,W1T 6ST,CA-E,CA-E,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529019,182179,-0.141656,51.523802,"MULTILINESTRING ((529021.26 182174.73,529022.59 182175.66,529017.12 182183.88,529015.72 182183.01))","LINESTRING (-0.141627 51.52376,-0.141608 51.523768,-0.141683 51.523843,-0.141704 51.523836)","{""type"":""MultiLineString"",""coordinates"":[[[529021.26,182174.73],[529022.59,182175.66],[529017.12,182183.88],[529015.72,182183.01]]]}","{""type"":""LineString"",""coordinates"":[[-0.141627,51.52376],[-0.141608,51.523768],[-0.141683,51.523843],[-0.141704,51.523836]]}",46036280,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.523802, -0.141656)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,10,mon-fri 10:00-12:00,N/A,N/A,N/A,N/A,Croftdown Road,NW5 1EH,CA-U,CA-U,52,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528484,186156,-0.14792,51.559665,"MULTILINESTRING ((528511.55 186173.65,528510.49 186175.13,528484.76 186158.44,528477.3 186153.32,528466.78 186145.23,528466.65 186145.12,528467.85 186143.78))","LINESTRING (-0.147511 51.559814,-0.147526 51.559828,-0.147903 51.559684,-0.148012 51.559639,-0.148167 51.559569,-0.148169 51.559568,-0.148152 51.559556)","{""type"":""MultiLineString"",""coordinates"":[[[528511.55,186173.65],[528510.49,186175.13],[528484.76,186158.44],[528477.3,186153.32],[528466.78,186145.23],[528466.65,186145.12],[528467.85,186143.78]]]}","{""type"":""LineString"",""coordinates"":[[-0.147511,51.559814],[-0.147526,51.559828],[-0.147903,51.559684],[-0.148012,51.559639],[-0.148167,51.559569],[-0.148169,51.559568],[-0.148152,51.559556]]}",46044995,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.559665, -0.14792)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,2,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Canfield Gardens,NW6 3ED,CA-R,CA-R,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525879,184356,-0.186124,51.544069,"MULTILINESTRING ((525885.07 184356.51,525885.11 184354.5,525871.92 184354.67,525872.01 184356.78))","LINESTRING (-0.186029 51.544075,-0.186029 51.544057,-0.186219 51.544062,-0.186217 51.544081)","{""type"":""MultiLineString"",""coordinates"":[[[525885.07,184356.51],[525885.11,184354.5],[525871.92,184354.67],[525872.01,184356.78]]]}","{""type"":""LineString"",""coordinates"":[[-0.186029,51.544075],[-0.186029,51.544057],[-0.186219,51.544062],[-0.186217,51.544081]]}",46046443,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.544069, -0.186124)",http://opendatacommunities.org/id/london-borough-council/camden
loading,1,mon-sat 08:30-18:30,N/A,N/A,N/A,N/A,Marchmont Street,WC1N 1RE,CA-D,N/A,12,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530141,182389,-0.125421,51.525434,"MULTILINESTRING ((530137.62 182394.1,530140.04 182395.1,530143.81 182384.85,530141.26 182383.93))","LINESTRING (-0.125464 51.525476,-0.125428 51.525484,-0.125378 51.525391,-0.125415 51.525384)","{""type"":""MultiLineString"",""coordinates"":[[[530137.62,182394.1],[530140.04,182395.1],[530143.81,182384.85],[530141.26,182383.93]]]}","{""type"":""LineString"",""coordinates"":[[-0.125464,51.525476],[-0.125428,51.525484],[-0.125378,51.525391],[-0.125415,51.525384]]}",46036203,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.525434, -0.125421)",http://opendatacommunities.org/id/london-borough-council/camden
cycle hire,1,"mon-fri 08:30-18:30, sat-sun 09:30-17:30",N/A,N/A,N/A,N/A,Arlington Road,NW1 7HD,CA-F,N/A,28,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528729,183967,-0.145188,51.539936,"MULTILINESTRING ((528726.3 183972.5,528724.61 183971.43,528732.17 183959.21,528733.86 183960.28,528726.3 183972.5))","LINESTRING (-0.14522 51.539984,-0.145244 51.539975,-0.14514 51.539863,-0.145115 51.539872,-0.14522 51.539984)","{""type"":""MultiLineString"",""coordinates"":[[[528726.3,183972.5],[528724.61,183971.43],[528732.17,183959.21],[528733.86,183960.28],[528726.3,183972.5]]]}","{""type"":""LineString"",""coordinates"":[[-0.14522,51.539984],[-0.145244,51.539975],[-0.14514,51.539863],[-0.145115,51.539872],[-0.14522,51.539984]]}",46047928,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.539936, -0.145188)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,11,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Netherhall Gardens,NW3 5RL,CA-B,CA-B,58,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526336,185138,-0.179254,51.550998,"MULTILINESTRING ((526335.21 185108.52,526337.25 185108.55,526337.23 185108.77,526335.4 185167.28,526335.4 185167.45,526333.42 185167.34))","LINESTRING (-0.179271 51.550733,-0.179242 51.550733,-0.179242 51.550735,-0.179248 51.551261,-0.179248 51.551263,-0.179276 51.551262)","{""type"":""MultiLineString"",""coordinates"":[[[526335.21,185108.52],[526337.25,185108.55],[526337.23,185108.77],[526335.4,185167.28],[526335.4,185167.45],[526333.42,185167.34]]]}","{""type"":""LineString"",""coordinates"":[[-0.179271,51.550733],[-0.179242,51.550733],[-0.179242,51.550735],[-0.179248,51.551261],[-0.179248,51.551263],[-0.179276,51.551262]]}",46035596,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.550998, -0.179254)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,1,mon-fri 12:30-14:30,N/A,N/A,N/A,N/A,Redington Road,NW3 7RS,CA-S,CA-S,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525692,186231,-0.188148,51.560966,"MULTILINESTRING ((525694.82 186232.46,525693.5 186233.78,525693.37 186233.66,525689.08 186229.51,525688.96 186229.39,525690.14 186228.03))","LINESTRING (-0.188102 51.560977,-0.18812 51.560989,-0.188122 51.560988,-0.188185 51.560952,-0.188187 51.560951,-0.188171 51.560938)","{""type"":""MultiLineString"",""coordinates"":[[[525694.82,186232.46],[525693.5,186233.78],[525693.37,186233.66],[525689.08,186229.51],[525688.96,186229.39],[525690.14,186228.03]]]}","{""type"":""LineString"",""coordinates"":[[-0.188102,51.560977],[-0.18812,51.560989],[-0.188122,51.560988],[-0.188185,51.560952],[-0.188187,51.560951],[-0.188171,51.560938]]}",46035327,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.560966, -0.188148)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for,4,"mon-fri 09:00-18:30, sat 09:30-13:30",4 hours,£3.84 (non-diesel) / £4.65 (diesel),13780,B105,Frognal,NW3 6AP,CA-B,N/A,21,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526270,185049,-0.180235,51.550214,"MULTILINESTRING ((526270.38 185038.44,526272.39 185038.71,526272.34 185038.88,526268.67 185059.54,526268.64 185059.74,526266.66 185059.32))","LINESTRING (-0.180231 51.550118,-0.180202 51.55012,-0.180203 51.550121,-0.180248 51.550308,-0.180249 51.55031,-0.180277 51.550306)","{""type"":""MultiLineString"",""coordinates"":[[[526270.38,185038.44],[526272.39,185038.71],[526272.34,185038.88],[526268.67,185059.54],[526268.64,185059.74],[526266.66,185059.32]]]}","{""type"":""LineString"",""coordinates"":[[-0.180231,51.550118],[-0.180202,51.55012],[-0.180203,51.550121],[-0.180248,51.550308],[-0.180249,51.55031],[-0.180277,51.550306]]}",46035637,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.550214, -0.180235)",http://opendatacommunities.org/id/london-borough-council/camden
free (buses),,mon-fri 08:00-09:00 & 15:00-17:00,N/A,N/A,N/A,N/A,Strathray Gardens,NW3 3HJ,CA-B,N/A,10,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527020,184485,-0.169625,51.54498,"MULTILINESTRING ((527019.69 184479.31,527021.66 184479.67,527020.24 184489.39,527020.21 184489.56,527018.12 184489.25))","LINESTRING (-0.169632 51.544925,-0.169603 51.544928,-0.16962 51.545015,-0.16962 51.545017,-0.169651 51.545015)","{""type"":""MultiLineString"",""coordinates"":[[[527019.69,184479.31],[527021.66,184479.67],[527020.24,184489.39],[527020.21,184489.56],[527018.12,184489.25]]]}","{""type"":""LineString"",""coordinates"":[[-0.169632,51.544925],[-0.169603,51.544928],[-0.16962,51.545015],[-0.16962,51.545017],[-0.169651,51.545015]]}",46047457,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.54498, -0.169625)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,11,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Fortune Green Road,NW6 1UA,CA-P,CA-P,56,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525329,185329,-0.193701,51.552943,"MULTILINESTRING ((525301.04 185347.21,525300.18 185345.54,525300.32 185345.47,525326.03 185331.31,525335.86 185325.11,525348.15 185317.33,525348.4 185317.17,525348.76 185316.94,525349.84 185318.59))","LINESTRING (-0.194094 51.553109,-0.194107 51.553094,-0.194105 51.553093,-0.19374 51.55296,-0.1936 51.552902,-0.193426 51.55283,-0.193422 51.552828,-0.193417 51.552826,-0.193401 51.552841)","{""type"":""MultiLineString"",""coordinates"":[[[525301.04,185347.21],[525300.18,185345.54],[525300.32,185345.47],[525326.03,185331.31],[525335.86,185325.11],[525348.15,185317.33],[525348.4,185317.17],[525348.76,185316.94],[525349.84,185318.59]]]}","{""type"":""LineString"",""coordinates"":[[-0.194094,51.553109],[-0.194107,51.553094],[-0.194105,51.553093],[-0.19374,51.55296],[-0.1936,51.552902],[-0.193426,51.55283],[-0.193422,51.552828],[-0.193417,51.552826],[-0.193401,51.552841]]}",46043977,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.552943, -0.193701)",http://opendatacommunities.org/id/london-borough-council/camden
solo motorcycles,1,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Bernard Street,WC1N 1LN,CA-D,N/A,9,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530277,182171,-0.123533,51.52344,"MULTILINESTRING ((530272.39 182170.18,530273.12 182168.38,530282.39 182172.02,530281.62 182173.84))","LINESTRING (-0.123605 51.523433,-0.123595 51.523416,-0.12346 51.523447,-0.123471 51.523463)","{""type"":""MultiLineString"",""coordinates"":[[[530272.39,182170.18],[530273.12,182168.38],[530282.39,182172.02],[530281.62,182173.84]]]}","{""type"":""LineString"",""coordinates"":[[-0.123605,51.523433],[-0.123595,51.523416],[-0.12346,51.523447],[-0.123471,51.523463]]}",46035907,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.52344, -0.123533)",http://opendatacommunities.org/id/london-borough-council/camden
